"mL NaOH",pH
0,1.624
0.3,1.683
1,1.83
1.3,1.888
1.5,1.944
1.7,1.965
1.9,2.009
2,2.04
2.2,2.088
2.6,2.149
2.8,2.235
3,2.291
3.2,2.357
3.4,2.453
3.8,2.639
4,2.904
4.4,3.994
4.8,4.874
5.2,5.174
5.6,5.404
6,5.523
6.4,5.659
6.8,5.777
7.2,5.888
7.6,6.008
8,6.106
8.4,6.223
8.8,6.314
9.4,6.518
9.8,6.624
10.2,6.794
10.8,7.151
11.4,7.692
12,8.148
12.4,8.352
12.8,8.535
13.2,8.695
13.6,8.809
14,8.934
14.4,9.044
14.8,9.138
15.2,9.242
15.6,9.336
16,9.464
16.6,9.614
17,9.753
17.4,9.903
17.8,10.116
18.4,10.603
18.8,11.638
19.4,12.125
